hdi_rank,Country,educ_index_2000,educ_index_2013,Country Code 2000,pov_2000,pov_2013,GDP_Country_Name,Country_Code2,gdp_2000,gdp_2013,Country_Name2,Region_2013,povhc_pct_y2,numpoor_y2,pop_y2,survey_coverage_y2,Region_2000,povhc_pct_y1,numpoor_y1,pop_y1,survey_coverage_y1,name,Country Name,Country Code,elec2000,elec2013
177,Guinea-Bissau,0,32.53,GNB,,,Guinea-Bissau,GNB,370,1046,Guinea-Bissau,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,,Guinea-Bissau,GNB,,16.13945961
178,Mozambique,22.25,37.21,MOZ,,,Mozambique,MOZ,5656,16974,Mozambique,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Mozambique,Mozambique,MOZ,5.981588364,22.78194618
179,Guinea,0,29.44,GIN,,,Guinea,GIN,2995,8377,Guinea,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Guinea,Guinea,GIN,15.53915501,31.17556
180,Burundi,18.66,37.01,BDI,,96.9,Burundi,BDI,870,2452,Burundi,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Burundi,Burundi,BDI,2.980748415,6.9
181,Burkina Faso,0,25,BFA,,,Burkina Faso,BFA,2957,13444,Burkina Faso,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Burkina Faso,Burkina Faso,BFA,9.144398689,15.59590626
182,Eritrea,0,22.75,ERI,,,Eritrea,ERI,706,,Eritrea,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Eritrea,Eritrea,ERI,29.22662163,43.23731995
183,Sierra Leone,27.37,30.45,SLE,,,Sierra Leone,SLE,636,4920,Sierra Leone,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Sierra Leone,Sierra Leone,SLE,,13.5
184,Chad,18.64,25.59,TCD,,,Chad,TCD,1385,12954,Chad,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Chad,Chad,TCD,2.704967737,8.023126602
185,Central African Republic,24.83,31.79,CAF,,,Central African Republic,CAF,915,1692,Central African Republic,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Central African Republic,Central African Republic,CAF,6,18.55493927
187,Niger,11.76,19.79,NER,,,Niger,NER,2236,10225,Niger,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Niger,Niger,NER,6.481481481,15.14236927
